time C1_re C1_im C2_re C2_im
11.17 5.158547726216424e-6 -2.8181274668100566e-6 5.158547726216424e-6 -2.8181274668100566e-6
11.18 5.10721931872772e-6 -2.790086629999261e-6 5.10721931872772e-6 -2.790086629999261e-6
11.19 5.05640163742692e-6 -2.762324804176546e-6 5.05640163742692e-6 -2.762324804176546e-6
11.2 5.006089600503545e-6 -2.734839213136193e-6 5.006089600503545e-6 -2.734839213136193e-6
11.21 4.956278176711965e-6 -2.707627108296189e-6 4.956278176711965e-6 -2.707627108296189e-6
11.22 4.906962384868313e-6 -2.680685768423383e-6 4.906962384868313e-6 -2.680685768423383e-6
11.23 4.858137293352294e-6 -2.6540124993613316e-6 4.858137293352294e-6 -2.6540124993613316e-6
11.24 4.809798019614073e-6 -2.627604633760901e-6 4.809798019614073e-6 -2.627604633760901e-6
11.25 4.761939729685992e-6 -2.6014595308135243e-6 4.761939729685992e-6 -2.6014595308135243e-6
11.26 4.714557637699176e-6 -2.575574575987119e-6 4.714557637699176e-6 -2.575574575987119e-6
11.27 4.667647005404941e-6 -2.549947180764632e-6 4.667647005404941e-6 -2.549947180764632e-6
11.28 4.621203141700965e-6 -2.5245747823851837e-6 4.621203141700965e-6 -2.5245747823851837e-6
11.29 4.575221402162174e-6 -2.499454843587794e-6 4.575221402162174e-6 -2.499454843587794e-6
11.3 4.529697188576289e-6 -2.4745848523576445e-6 4.529697188576289e-6 -2.4745848523576445e-6
11.31 4.48462594848403e-6 -2.4499623216748962e-6 4.48462594848403e-6 -2.4499623216748962e-6
11.32 4.44000317472382e-6 -2.4255847892659572e-6 4.44000317472382e-6 -2.4255847892659572e-6
11.33 4.3958244049810974e-6 -2.4014498173572723e-6 4.3958244049810974e-6 -2.4014498173572723e-6
11.34 4.352085221342072e-6 -2.377554992431538e-6 4.352085221342072e-6 -2.377554992431538e-6
11.35 4.308781249851931e-6 -2.3538979249863492e-6 4.308781249851931e-6 -2.3538979249863492e-6
11.36 4.265908160077437e-6 -2.330476249295247e-6 4.265908160077437e-6 -2.330476249295247e-6
11.37 4.223461664673887e-6 -2.3072876231711447e-6 4.223461664673887e-6 -2.3072876231711447e-6
11.38 4.18143751895636e-6 -2.284329727732101e-6 4.18143751895636e-6 -2.284329727732101e-6
11.39 4.139831520475278e-6 -2.2616002671694497e-6 4.139831520475278e-6 -2.2616002671694497e-6
11.4 4.098639508596116e-6 -2.239096968518188e-6 4.098639508596116e-6 -2.239096968518188e-6
11.41 4.057857364083357e-6 -2.2168175814296984e-6 4.057857364083357e-6 -2.2168175814296984e-6
11.42 4.0174810086885664e-6 -2.1947598779467065e-6 4.0174810086885664e-6 -2.1947598779467065e-6
11.43 3.977506404742555e-6 -2.1729216522804816e-6 3.977506404742555e-6 -2.1729216522804816e-6
11.44 3.937929554751619e-6 -2.151300720590259e-6 3.937929554751619e-6 -2.151300720590259e-6
11.45 3.898746500997777e-6 -2.1298949207648516e-6 3.898746500997777e-6 -2.1298949207648516e-6
11.46 3.859953325142993e-6 -2.1087021122064353e-6 3.859953325142993e-6 -2.1087021122064353e-6
11.47 3.82154614783737e-6 -2.0877201756165015e-6 3.82154614783737e-6 -2.0877201756165015e-6
11.48 3.783521128331162e-6 -2.0669470127839014e-6 3.783521128331162e-6 -2.0669470127839014e-6
11.49 3.745874464090733e-6 -2.0463805463750416e-6 3.745874464090733e-6 -2.0463805463750416e-6
11.5 3.708602390418285e-6 -2.0260187197261423e-6 3.708602390418285e-6 -2.0260187197261423e-6
11.51 3.671701180075391e-6 -2.00585949663757e-6 3.671701180075391e-6 -2.00585949663757e-6
11.52 3.6351671429102656e-6 -1.9859008611702163e-6 3.6351671429102656e-6 -1.9859008611702163e-6
11.53 3.598996625488748e-6 -1.966140817443903e-6 3.598996625488748e-6 -1.966140817443903e-6
11.54 3.5631860107289522e-6 -1.9465773894377896e-6 3.5631860107289522e-6 -1.9465773894377896e-6
11.55 3.527731717539555e-6 -1.92720862079277e-6 3.527731717539555e-6 -1.92720862079277e-6
11.56 3.4926302004617046e-6 -1.9080325746158463e-6 3.4926302004617046e-6 -1.9080325746158463e-6
11.57 3.4578779493144346e-6 -1.889047333286416e-6 3.4578779493144346e-6 -1.889047333286416e-6
11.58 3.423471488843671e-6 -1.8702509982645259e-6 3.423471488843671e-6 -1.8702509982645259e-6
11.59 3.389407378374694e-6 -1.8516416899010096e-6 3.389407378374694e-6 -1.8516416899010096e-6
11.6 3.35568221146807e-6 -1.8332175472495235e-6 3.35568221146807e-6 -1.8332175472495235e-6
11.61 3.322292615579004e-6 -1.814976727880449e-6 3.322292615579004e-6 -1.814976727880449e-6
11.62 3.2892352517200825e-6 -1.796917407696648e-6 3.2892352517200825e-6 -1.796917407696648e-6
11.63 3.2565068141273654e-6 -1.7790377807510494e-6 3.2565068141273654e-6 -1.7790377807510494e-6
11.64 3.224104029929831e-6 -1.7613360590660656e-6 3.224104029929831e-6 -1.7613360590660656e-6
11.65 3.1920236588220533e-6 -1.7438104724547737e-6 3.1920236588220533e-6 -1.7438104724547737e-6
11.66 3.160262492740185e-6 -1.726459268343907e-6 3.160262492740185e-6 -1.726459268343907e-6
11.67 3.128817355541153e-6 -1.709280711598596e-6 3.128817355541153e-6 -1.709280711598596e-6
11.68 3.0976851026850307e-6 -1.69227308434885e-6 3.0976851026850307e-6 -1.69227308434885e-6
11.69 3.06686262092059e-6 -1.6754346858177712e-6 3.06686262092059e-6 -1.6754346858177712e-6
11.7 3.0363468279739682e-6 -1.6587638321514743e-6 3.0363468279739682e-6 -1.6587638321514743e-6
11.71 3.006134672240436e-6 -1.6422588562506974e-6 3.006134672240436e-6 -1.6422588562506974e-6
11.72 2.9762231324792542e-6 -1.625918107604102e-6 2.9762231324792542e-6 -1.625918107604102e-6
11.73 2.946609217511515e-6 -1.6097399521232038e-6 2.946609217511515e-6 -1.6097399521232038e-6
11.74 2.917289965921042e-6 -1.5937227719789719e-6 2.917289965921042e-6 -1.5937227719789719e-6
11.75 2.8882624457582444e-6 -1.5778649654400447e-6 2.8882624457582444e-6 -1.5778649654400447e-6
11.76 2.8595237542469163e-6 -1.5621649467125535e-6 2.8595237542469163e-6 -1.5621649467125535e-6
11.77 2.8310710174939567e-6 -1.5466211457815417e-6 2.8310710174939567e-6 -1.5466211457815417e-6
11.78 2.80290139020198e-6 -1.5312320082539635e-6 2.80290139020198e-6 -1.5312320082539635e-6
11.79 2.7750120553847833e-6 -1.5159959952032417e-6 2.7750120553847833e-6 -1.5159959952032417e-6
