time itr a b c d source HEOM_C_re HEOM_C_im RMRT_gdd_re RMRT_gdd_im diff_re diff_im abs_diff ratio_re ratio_im abs_ratio
2.4000000000e-01 13 1 2 1 2 direct_gddot 8.014840313570e-02 -3.933139305333e-02 5.002424019857e-02 -2.370027964448e-02 -3.012416293713e-02 1.563111340885e-02 3.393813340570e-02 6.199596625448e-01 8.529147101317e-03 6.200183299976e-01
2.6000000000e-01 14 1 1 1 1 fd_gprime 2.329466442930e-01 -1.156577378705e-01 1.496477030491e-01 -6.995677430190e-02 -8.329894124386e-02 4.570096356864e-02 9.501206072626e-02 6.349856871453e-01 1.495721848269e-02 6.351618228957e-01
2.6000000000e-01 14 2 2 2 2 fd_gprime 2.329466442930e-01 -1.156577378705e-01 1.496477030491e-01 -6.995677430190e-02 -8.329894124386e-02 4.570096356864e-02 9.501206072626e-02 6.349856871453e-01 1.495721848269e-02 6.351618228957e-01
2.6000000000e-01 14 1 1 2 2 fd_gprime 7.764888143099e-02 -3.855257929018e-02 4.988256768304e-02 -2.331892476730e-02 -2.776631374795e-02 1.523365452288e-02 3.167068690875e-02 6.349856871453e-01 1.495721848269e-02 6.351618228957e-01
2.6000000000e-01 14 2 2 1 1 fd_gprime 7.764888143099e-02 -3.855257929018e-02 4.988256768304e-02 -2.331892476730e-02 -2.776631374795e-02 1.523365452288e-02 3.167068690875e-02 6.349856871453e-01 1.495721848269e-02 6.351618228957e-01
2.6000000000e-01 14 1 2 2 1 direct_gddot 7.764888143099e-02 -3.855257929018e-02 4.998413607938e-02 -2.310062708455e-02 -2.766474535162e-02 1.545195220562e-02 3.168755216697e-02 6.349152652460e-01 1.773359765153e-02 6.351628724415e-01
2.6000000000e-01 14 1 2 1 2 direct_gddot 7.764888143099e-02 -3.855257929018e-02 4.998413607938e-02 -2.310062708455e-02 -2.766474535162e-02 1.545195220562e-02 3.168755216697e-02 6.349152652460e-01 1.773359765153e-02 6.351628724415e-01
2.8000000000e-01 15 1 1 1 1 fd_gprime 2.259974908924e-01 -1.133675612184e-01 1.474560076935e-01 -7.136638027409e-02 -7.854148319890e-02 4.200118094427e-02 8.906662553278e-02 6.478526288309e-01 9.199625523093e-03 6.479179437188e-01
2.8000000000e-01 15 2 2 2 2 fd_gprime 2.259974908924e-01 -1.133675612184e-01 1.474560076935e-01 -7.136638027409e-02 -7.854148319890e-02 4.200118094427e-02 8.906662553278e-02 6.478526288309e-01 9.199625523093e-03 6.479179437188e-01
2.8000000000e-01 15 1 1 2 2 fd_gprime 7.533249696413e-02 -3.778918707279e-02 4.915200256450e-02 -2.378879342470e-02 -2.618049439963e-02 1.400039364809e-02 2.968887517759e-02 6.478526288309e-01 9.199625523096e-03 6.479179437188e-01
2.8000000000e-01 15 2 2 1 1 fd_gprime 7.533249696413e-02 -3.778918707279e-02 4.915200256450e-02 -2.378879342470e-02 -2.618049439963e-02 1.400039364809e-02 2.968887517759e-02 6.478526288309e-01 9.199625523096e-03 6.479179437188e-01
2.8000000000e-01 15 1 2 2 1 direct_gddot 7.533249696413e-02 -3.778918707279e-02 4.936517117526e-02 -2.377200670909e-02 -2.596732578887e-02 1.401718036369e-02 2.950903851320e-02 6.500241268654e-01 1.051175329057e-02 6.501091158140e-01
2.8000000000e-01 15 1 2 1 2 direct_gddot 7.533249696413e-02 -3.778918707279e-02 4.936517117526e-02 -2.377200670909e-02 -2.596732578887e-02 1.401718036369e-02 2.950903851320e-02 6.500241268654e-01 1.051175329057e-02 6.501091158140e-01
3.0000000000e-01 16 1 1 1 1 fd_gprime 2.195188452447e-01 -1.111227331023e-01 1.421967907864e-01 -7.313106432372e-02 -7.732205445834e-02 3.799166877854e-02 8.615141903786e-02 6.498759209626e-01 -4.168552399202e-03 6.498892901688e-01
